sectorId,occupationId
19,1146
21,194
21,415
21,416
21,417
21,418
21,419
21,420
21,421
21,422
21,423
21,424
21,425
21,426
21,427
21,428
21,429
21,430
21,431
21,432
21,433
21,434
22,309
22,310
22,311
22,312
22,631
22,632
22,1062
22,1063
22,1064
22,1065
22,1072
22,1156
22,1157
22,1158
22,1159
23,292
23,864
23,865
23,866
23,867
23,868
24,220
24,221
24,222
24,223
24,224
24,225
24,226
24,227
24,228
24,888
24,970
24,971
24,1280
24,1281
25,342
25,343
25,344
25,345
25,346
25,347
25,348
25,349
25,350
25,351
25,352
25,1140
25,1141
25,1142
25,1143
25,1144
25,1145
25,1302
25,1303
25,1304
26,111
26,112
26,116
26,117
26,140
26,142
26,204
26,205
26,206
26,207
26,208
26,209
26,210
26,293
26,502
26,503
26,774
26,776
26,836
26,837
26,838
26,839
26,840
26,841
26,983
26,984
26,985
26,986
26,987
26,988
26,989
26,990
26,991
26,1023
26,1147
26,1148
26,1305
26,1323
27,724
27,725
27,726
27,727
27,728
27,729
27,730
27,731
27,732
28,170
28,171
28,172
28,173
28,174
28,175
28,176
28,177
28,178
28,179
28,180
28,181
28,182
28,183
28,184
28,185
28,186
28,187
28,188
28,189
28,463
28,464
28,465
28,1102
28,1103
28,1104
28,1105
28,1112
28,1113
28,1114
28,1115
28,1116
28,1117
28,1118
28,1119
28,1120
28,1258
28,1263
28,1264
28,1315
29,214
29,215
29,248
29,249
29,250
29,251
29,252
29,453
29,454
29,455
29,456
29,457
29,458
29,459
29,460
29,504
29,505
29,506
29,507
29,508
29,509
29,510
29,511
29,512
29,513
29,514
29,515
29,704
29,713
29,714
29,715
29,716
29,717
29,718
29,795
29,796
29,797
29,798
29,799
29,869
29,870
29,871
29,872
29,873
29,874
29,1001
29,1002
29,1003
29,1004
29,1005
29,1006
29,1010
29,1011
29,1012
29,1013
29,1014
30,520
30,821
30,822
31,467
31,468
31,469
31,470
31,471
31,472
31,473
31,474
32,313
32,314
32,315
33,313
33,314
33,315
33,467
33,468
33,469
33,470
33,471
33,472
33,473
33,474
34,48
34,49
34,50
34,51
34,115
35,216
35,217
35,218
35,294
35,295
35,296
35,297
35,298
35,299
35,300
35,301
35,302
35,303
35,410
35,411
35,412
35,413
35,414
35,442
35,443
35,444
35,450
35,451
35,452
35,541
35,542
35,543
35,544
35,545
35,615
35,616
35,617
35,618
35,619
35,620
35,621
35,760
35,761
35,762
35,763
35,764
35,765
35,1026
35,1036
35,1038
35,1039
35,1040
35,1041
35,1089
35,1097
35,1106
35,1107
35,1108
35,1109
35,1110
35,1111
35,1160
35,1161
35,1239
35,1240
35,1241
35,1242
35,1243
35,1244
35,1245
35,1246
35,1247
35,1248
35,1249
35,1253
35,1254
35,1255
35,1256
35,1275
35,1276
35,1287
35,1288
35,1294
35,1295
35,1300
35,1311
36,17
36,146
36,879
37,461
37,462
38,705
38,706
38,707
38,708
38,709
38,982
39,705
39,706
39,707
39,708
39,709
39,982
40,74
40,75
40,76
40,77
40,78
40,79
40,80
40,81
40,82
40,83
40,84
40,85
40,86
40,87
40,88
40,89
40,90
40,91
40,92
40,93
40,94
40,95
40,96
40,97
40,98
40,99
40,546
40,547
40,548
40,549
40,550
40,551
40,552
40,553
40,710
40,711
40,712
40,751
40,752
40,753
40,754
40,755
40,756
40,757
40,758
40,759
40,766
40,767
40,768
40,769
40,770
40,777
40,778
40,779
40,780
40,781
40,782
40,783
40,784
40,785
40,786
40,787
40,788
40,789
40,790
40,791
40,792
40,793
40,794
41,211
41,212
41,213
41,719
41,720
41,721
41,722
41,723
41,816
41,817
42,823
42,824
42,825
42,826
42,827
42,828
43,823
43,824
43,825
43,826
43,827
43,828
44,554
44,555
44,556
44,557
44,558
44,559
44,560
44,561
44,562
44,563
44,1099
44,1100
44,1101
45,116
45,117
46,972
46,973
46,974
46,975
46,976
47,487
47,488
47,489
47,490
47,491
47,492
47,493
48,316
48,317
48,318
48,319
48,320
48,321
49,153
49,1015
49,1016
49,1017
49,1152
49,1154
49,1274
49,1279
49,1284
50,153
51,864
51,865
51,866
51,867
51,868
52,28
52,29
52,30
52,31
52,32
52,33
52,34
52,35
52,36
52,143
52,144
52,977
52,978
52,979
52,980
52,1171
52,1172
52,1173
52,1174
53,356
53,357
53,358
53,359
53,360
53,361
53,362
53,363
53,364
53,365
53,376
53,377
53,378
53,379
53,380
53,381
53,382
53,383
53,724
53,725
53,726
53,727
53,728
53,729
53,730
53,731
53,732
53,914
53,915
53,1217
53,1218
53,1219
53,1220
53,1221
54,113
54,114
55,48
55,49
55,50
55,51
55,113
55,114
55,115
55,931
55,932
55,933
55,934
55,935
55,936
55,937
55,938
55,939
55,940
55,941
55,1028
55,1029
55,1030
55,1031
55,1032
55,1033
56,147
56,148
56,149
56,150
56,151
56,152
56,1321
56,1322
57,229
57,230
57,231
57,232
57,233
57,234
57,235
57,236
57,237
57,238
58,774
58,775
58,776
59,253
59,304
59,305
59,306
59,307
59,308
60,219
60,253
60,304
60,305
60,306
60,307
60,308
60,339
60,353
60,594
60,748
60,749
60,750
60,1024
60,1061
60,1170
60,1222
60,1289
60,1291
60,1292
60,1293
60,1306
60,1307
60,1308
60,1309
60,1310
61,292
62,100
62,101
62,102
62,103
62,104
62,105
62,106
62,107
62,108
62,109
62,110
62,163
62,397
62,398
62,399
62,400
62,401
62,402
62,403
62,404
62,405
62,406
62,407
62,408
62,409
62,466
62,905
62,906
62,907
62,1130
62,1131
62,1132
62,1133
62,1134
63,748
63,749
63,750
64,141
64,162
64,354
64,355
64,530
64,531
64,532
64,533
64,534
64,535
64,536
64,537
64,662
64,663
64,664
64,665
64,666
64,667
64,693
64,694
64,695
64,696
64,697
64,698
64,699
64,700
64,701
64,702
64,703
64,863
64,1025
64,1027
64,1044
64,1045
64,1046
64,1047
64,1048
64,1149
64,1150
64,1151
64,1162
64,1163
64,1223
64,1277
64,1282
64,1324
64,1325
65,190
65,191
65,192
65,193
65,316
65,317
65,318
65,319
65,320
65,321
65,516
65,517
65,518
65,519
65,771
65,772
65,773
65,1175
65,1176
65,1177
65,1178
65,1179
65,1180
65,1181
65,1182
65,1183
65,1184
65,1185
65,1186
65,1187
65,1188
65,1189
65,1190
65,1191
65,1192
65,1193
65,1194
65,1195
65,1197
65,1198
65,1199
65,1200
