id,name
1,สาขางานพิมพ์
2,สาขางานจัดการขนส่งสินค้าระหว่างประเทศ
3,สาขางานจัดการคลังสินค้า สินค้าคงคลัง และการกระจายสินค้า
4,สาขางานส่งออกและนำเข้า
5,สาขาจัดซื้อ จัดหา จัดจ้าง
6,สาขางานแม่พิมพ์พลาสติก
7,สาขางานแม่พิมพ์โลหะ
8,สาขาถ่ายภาพ
9,สาขาผลิตภาพ
10,สาขางานจัดการขนส่ง
11,สาขาจัดการขนส่ง
12,สาขาให้บริการสปา
13,สาขาตัดเย็บเสื้อผ้า
14,สาขางานปฏิบัติการ
15,สาขางานซ่อมบำรุง
16,สาขางานความปลอดภัย
17,สาขาซอฟต์แวร์และการประยุกต์
18,สาขาการสื่อสารโทรคมนาคม
19,สาขาฮาร์ดแวร์ (Hardware)
20,สาขาเครือข่ายและความปลอดภัย (Network and Security)
21,สาขาแอนิเมชัน (Animation)
22,สาขาการบริหารโครงการสารสนเทศ (Project Management)
23,สาขาผู้ประกอบอาหาร
24,สาขางานก่อนพิมพ์
25,สาขางานหลังพิมพ์
26,สาขางานทอผ้า
27,สาขางานเครื่องปั้นดินเผา
28,สาขางานเครื่องจักสาน
29,สาขางานเครื่องถม
30,สาขางานท่องเที่ยว
31,สาขายางล้อและชิ้นส่วนยางสำหรับยานยนต์และงานวิศวกรรม
32,สาขาที่อยู่อาศัย
33,สาขานักบิน
34,สาขาต้อนรับบนเครื่องบิน
35,สาขาบริการภาคพื้นและสนับสนุนการบินภาคพื้นในอาคาร
36,สาขาบริการภาคพื้นและสนับสนุนการบินภาคพื้นในลานจอด
37,สาขางานเทคนิคและฝึกอบรม
38,สาขางานผู้ควบคุมการก่อสร้าง
39,สาขางานโรงแรม
40,สาขาอุตสาหกรรมอาหาร
41,สาขาเพาะเลี้ยงสัตว์น้ำเศรษฐกิจ
42,สาขาผู้สอนภาษาต่างประเทศ
43,สาขาการเชื่อมอุตสาหกรรม วัสดุอลูมิเนียม
44,สาขาการเชื่อมอุตสาหกรรม วัสดุเหล็กกล้า
45,สาขาอุตสาหกรรมการเชื่อมชิ้นส่วนประกอบยานพาหนะและเครื่องจักรกลหนัก
46,สาขาการเชื่อมอุตสาหกรรม วัสดุเหล็กกล้าไร้สนิม
47,สาขาพัฒนาโครงการ
48,สาขาการบริหารโครงการ
49,สาขาการขายและตลาดโครงการอสังหาริมทรัพย์
50,สาขานายหน้าอสังหาริมทรัพย์
51,สาขารักษาความปลอดภัยอาคาร สถานที่และทรัพย์สิน
52,สาขารักษาความปลอดภัยบุคคลสำคัญ
53,สาขารักษาความปลอดภัยขนส่งทรัพย์สินมีค่า
54,สาขาการแปรรูปนม
55,สาขาผลิตกระเบื้องเซรามิก
56,สาขาผลิตสุขภัณฑ์เซรามิก
57,สาขาผลิตเครื่องใช้บนโต๊ะอาหารเซรามิก
58,สาขาผลิตลูกถ้วยไฟฟ้าเซรามิก
59,สาขาเพาะปลูกพืชเศรษฐกิจ
60,สาขาการให้บริการทางด้านการกีฬา
61,สาขาการจัดการพลังงาน
62,สาขาเครื่องกลเรือ
63,สาขาเดินเรือประมง
64,สาขาเครื่องมือประมง
65,สาขาธุรกิจประปา
66,สาขาเทคโนโลยีชีวมวล และเทคโนโลยีก๊าซชีวภาพ
67,สาขาธุรกิจจัดส่งพัสดุ
68,สาขาการจัดการของเสียอุตสาหกรรม
69,สาขาแปรรูปสัตว์น้ำ
70,สาขาการเขียนแบบและการประมาณราคา
71,สาขางานตกแต่งอาคารให้สมบูรณ์
72,สาขางานก่อสร้างฐานรากและโครงสร้างอาคาร
73,สาขางานติดตั้งระบบประกอบอาคาร
74,สาขาพลังงานไฟฟ้าจากเซลล์แสงอาทิตย์
75,สาขาอุตสาหกรรมน้ำตาล
76,สาขาอาชีวอนามัยและความปลอดภัย
77,สาขาออกแบบผลิตภัณฑ์อุตสาหกรรม
78,สาขาคลัสเตอร์หุ่นยนต์
79,สาขาเทคโนโลยีระบบแสงและเสียง
80,สาขาจัดการขนส่งสินค้าระหว่างประเทศ
81,สาขาการให้บริการอาหาร
82,สาขาการแปรรูปผักและผลไม้
83,สาขาผลิตภัณฑ์จากสมุนไพร
84,สาขาเกษตรกรรมตามแนวพระราชดำริเศรษฐกิจพอเพียง
85,สาขาธุรกิจอีคอมเมิร์ซและเว็บไซต์
86,สาขาอุตสาหกรรมภาพยนตร์
87,สาขาพลาสติกชีวภาพ
88,สาขางานแม่พิมพ์อะลูมิเนียม
89,สาขางาน Jig & Fixture
90,สาขางาน Checking Fixture
91,สาขางานแม่พิมพ์ยาง
92,สาขาการจัดการของเสียชุมชน
93,สาขาเครื่องใช้ไฟฟ้าเทคโนโลยีชั้นสูง
94,สาขาเพื่อการพาณิชย์
95,สาขาจัดการโลจิสติกส์
96,สาขาจัดการซัพพลายเชน
97,สาขาเทคโนโลยีระบบเครือข่ายทางการแพทย์
98,สาขากระบวนการเป่ายืดขึ้นรูป
99,สาขากระบวนการฉีดขึ้นรูป
100,สาขากระบวนการอัดขึ้นรูป
101,สาขากระบวนการอัดรีดขึ้นรูปโปรไฟล์และท่อ
102,สาขากระบวนการขึ้นรูปสุญญากาศ
103,สาขาการจัดการอุตสาหกรรมการแพทย์ครบวงจร
104,สาขาอีเลิร์นนิง (ELearning)
105,สาขาการแปรรูปสัตว์น้ำ
106,สาขาธุรกิจขายตรง
107,สาขาการบรรเทาสาธารณภัยและกู้ชีพ
108,สาขาจัดการส่งออกและนำเข้า
109,สาขาจัดการขนส่งสินค้าทางถนน
110,สาขาจัดการคลังสินค้า สินค้าคงคลัง และกระจายสินค้า
111,สาขาการวิจัยและพัฒนา
112,สาขาแอนิเมชันและเกม (Animation and Game)
113,สาขาเทคโนโลยีการเกษตร
114,สาขาเกษตรกรปราดเปรื่อง
115,สาขาส่งเสริมการเกษตร
116,สาขาวิทยาศาสตร์ข้อมูล
117,สาขาการแปรรูปผลิตผลทางการเกษตร
118,สาขาแปรรูปเหล็ก
119,สาขาร้านค้าปลีก
120,สาขาอารักขาบุคคลสำคัญ
121,สาขาประชาสัมพันธ์
122,สาขาการจัดการการท่องเที่ยวในท้องถิ่น
123,สาขาบริการสุขภาพบุคคล
124,สาขาประกันชีวิต
125,สาขาประกันวินาศภัย
126,สาขาเทคโนโลยีการเชื่อมอุตสาหกรรม
127,สาขาการผังเมือง
128,สาขาออกแบบแฟชั่น
129,สาขาฮาร์ดแวร์
130,สาขาความมั่นคงปลอดภัยทางดิจิทัลและส่วนบุคคล
131,สาขาบริหารโครงการสารสนเทศ
132,สาขาอีเลิร์นนิง
133,สาขาธุรกิจดิจิทัลและพาณิชย์อิเล็กทรอนิกส์
134,สาขาแอนิเมชัน
135,สาขาเกม
136,สาขาการทดสอบและตรวจสอบโดยไม่ทำลาย
137,สาขาอุตสาหกรรมยาง
138,สาขามาตรวิทยา
139,สาขาหุ่นยนต์
140,สาขารถยนต์ทั่วไป
141,สาขารถบรรทุก รถโดยสารและรถพ่วง
142,สาขารถจักรยานยนต์
143,สาขางานขายและบริการ
144,สาขาอบชุบโลหะด้วยความร้อน
145,สาขาชุบโลหะด้วยไฟฟ้า
146,สาขากู้ชีพ
147,สาขากู้ภัย
148,สาขาดับเพลิง
149,สาขาอุตสาหกรรมไฟฟ้าและอิเล็กทรอนิกส์
150,สาขาไฟฟ้ากำลัง
151,สาขาการบริหารโครงการสารสนเทศ
152,สาขาช่างเทคนิคเสริมสวย
153,สาขานักบริหารธุรกิจเสริมสวย
154,สาขาผู้สอนเสริมสวย
155,สาขาระบบอัตโนมัติ
156,สาขาการติดตามและประเมินผลสิ่งแวดล้อม
157,สาขางานระบบผลิตไฟฟ้า
158,สาขาการจัดการการประชุม
159,สาขาอุตสาหกรรมการเชื่อมโครงสร้างและเครื่องจักรกล
160,สาขาการจัดการงานแสดงสินค้าและนิทรรศการ
161,สาขาการจัดการสถานที่จัดงาน
162,สาขาการจัดการการเดินทางเพื่อเป็นรางวัล
163,สาขาการจัดการงานอีเวนต์
164,สาขาการผลิตเครื่องมือแพทย์
165,สาขาช่างกายอุปกรณ์
166,สาขาบริการเครื่องดื่ม
167,สาขาธุรกิจอาหาร
168,สาขาธุรกิจจัดดอกไม้
169,สาขาธุรกิจเสริมสวย
170,สาขางานผ้าทอ
171,สาขาจัดส่งอาหาร
172,สาขางานศิลป์แผ่นดิน
173,สาขาการจัดการท่องเที่ยวเชิงนิเวศ
174,สาขาบริการการศึกษาและฝึกอบรม
175,สาขาการนวดไทย
176,สาขาการคัดแยกผลิตผลทางการเกษตร
177,สาขาดนตรีไทย
178,สาขาจิตวิทยา
179,สาขาบริการการศึกษา
180,สาขาเทคโนโลยีระบบเสียง
181,สาขามวยไทย
182,สาขาเทคโนโลยีระบบแสง
183,สาขาอัญมณี เครื่องประดับ และโลหะมีค่า
184,สาขาอุตสาหกรรมสิ่งทอ
185,สาขาระบบงานผลิตไฟฟ้าจากพลังน้ำ
