1,1,4
2,1,5
3,1,6
4,1,7
5,2,6
6,2,7
7,3,3
8,3,4
9,3,5
10,3,6
11,3,7
12,4,5
13,4,6
14,4,7
15,5,4
16,5,5
17,5,6
18,6,5
19,6,6
20,6,7
21,7,4
22,7,5
23,7,6
24,8,2
25,8,3
26,8,4
27,8,5
28,8,6
29,9,4
30,9,5
31,9,6
32,10,4
33,10,5
34,10,6
35,11,4
36,11,5
37,11,6
38,12,3
39,12,4
40,12,5
41,12,6
42,13,2
43,13,3
44,13,4
45,13,5
46,13,6
47,14,2
48,14,3
49,14,4
50,14,5
51,14,6
52,15,2
53,15,3
54,15,4
55,15,5
56,15,6
57,16,4
58,16,5
59,16,6
60,17,2
61,17,3
62,17,4
63,17,5
64,17,6
65,18,2
66,18,3
67,18,4
68,18,5
69,18,6
70,18,7
71,19,2
72,19,3
73,19,4
74,19,5
75,19,6
76,19,7
77,20,4
78,20,5
79,20,6
80,21,2
81,21,3
82,21,4
83,21,5
84,21,6
85,22,2
86,22,3
87,22,4
88,22,5
89,22,6
90,23,6
91,23,7
92,24,2
93,24,3
94,24,4
95,24,5
96,24,6
97,24,7
98,25,3
99,25,4
100,25,5
101,25,6
102,26,2
103,26,3
104,26,4
105,26,5
106,26,6
107,26,7
108,27,2
109,27,3
110,27,4
111,27,5
112,27,6
113,27,7
114,28,2
115,28,3
116,28,4
117,28,5
118,28,6
119,29,4
120,29,5
121,29,6
122,29,7
123,30,4
124,30,5
125,30,6
126,31,2
127,31,3
128,31,4
129,31,5
130,31,6
131,32,5
132,32,6
133,32,7
134,33,6
135,33,7
136,34,4
137,34,5
138,34,6
139,34,7
140,35,2
141,35,3
142,35,4
143,35,5
144,35,6
145,36,3
146,36,4
147,36,5
148,36,6
149,37,2
150,37,3
151,37,4
152,37,5
153,37,6
154,38,2
155,38,3
156,38,4
157,38,5
158,38,6
159,39,2
160,39,3
161,39,4
162,39,5
163,39,6
164,40,2
165,40,3
166,40,4
167,40,5
168,40,6
169,41,2
170,41,3
171,41,4
172,41,5
173,41,6
174,42,2
175,42,3
176,42,4
177,42,5
178,42,6
179,42,7
180,43,5
181,43,6
182,43,7
183,44,3
184,44,4
185,44,5
186,45,3
187,45,4
188,45,5
189,45,6
190,45,7
191,46,2
192,46,3
193,46,4
194,46,5
195,46,6
196,47,4
197,47,5
198,47,6
199,48,2
200,48,3
201,48,4
202,48,5
203,48,6
204,49,4
205,49,5
206,49,6
207,49,7
208,50,3
209,50,4
210,50,5
211,50,6
212,50,7
213,51,2
214,51,3
215,51,4
216,51,5
217,51,6
218,52,2
219,52,3
220,52,4
221,52,5
222,52,6
223,53,2
224,53,3
225,53,4
226,53,5
227,53,6
228,54,2
229,54,3
230,54,4
231,54,5
232,54,6
233,55,2
234,55,3
235,55,4
236,55,5
237,55,6
238,56,2
239,56,3
240,56,4
241,56,5
242,56,6
243,57,2
244,57,3
245,57,4
246,57,5
247,57,6
248,58,1
249,58,2
250,58,3
251,58,4
252,58,5
253,58,6
254,59,1
255,59,2
256,59,3
257,59,4
258,59,5
259,59,6
260,60,1
261,60,2
262,60,3
263,60,4
264,60,5
265,60,6
266,61,2
267,61,3
268,61,4
269,61,5
270,61,6
271,62,2
272,62,3
273,62,4
274,62,5
275,62,6
276,63,2
277,63,3
278,63,4
279,63,5
280,63,6
281,64,4
282,64,5
283,64,6
284,65,2
285,65,3
286,65,4
287,65,5
288,65,6
289,66,2
290,66,3
291,66,4
292,66,5
293,66,6
294,67,2
295,67,3
296,67,4
297,67,5
298,67,6
299,68,2
300,68,3
301,68,4
302,68,5
303,69,2
304,69,3
305,69,4
306,69,5
307,70,2
308,70,3
309,70,4
310,70,5
311,70,6
312,70,7
313,71,2
314,71,3
315,71,4
316,71,5
317,71,6
318,72,2
319,72,3
320,72,4
321,72,5
322,72,6
323,73,2
324,73,3
325,73,4
326,73,5
327,74,2
328,74,3
329,74,4
330,74,5
331,74,6
332,75,2
333,75,3
334,75,4
335,75,5
336,76,2
337,76,3
338,76,4
339,76,5
340,76,6
341,77,2
342,77,3
343,77,4
344,77,5
345,77,6
346,78,2
347,78,3
348,78,4
349,78,5
350,78,6
351,79,2
352,79,3
353,79,4
354,79,5
355,80,2
356,80,3
357,80,4
358,80,5
359,80,6
360,81,2
361,81,3
362,81,4
363,81,5
364,81,6
365,82,1
366,82,2
367,82,3
368,82,4
369,82,5
370,82,6
371,83,1
372,83,2
373,83,3
374,83,4
375,83,5
376,83,6
377,84,2
378,84,3
379,84,4
380,84,5
381,84,6
382,84,7
383,85,1
384,85,2
385,85,3
386,85,4
387,85,5
388,86,4
389,86,5
390,86,6
391,86,7
392,87,4
393,87,5
394,87,6
395,87,7
396,88,4
397,88,5
398,88,6
399,88,7
400,89,5
401,89,6
402,89,7
403,90,2
404,90,3
405,90,4
406,90,5
407,91,1
408,91,2
409,91,3
410,91,4
411,91,5
412,92,2
413,92,3
414,92,4
415,92,5
416,93,1
417,93,2
418,93,3
419,93,4
420,93,5
421,94,1
422,94,2
423,94,3
424,94,4
425,94,5
426,95,2
427,95,3
428,95,4
429,95,5
430,95,6
431,96,2
432,96,3
433,96,4
434,96,5
435,96,6
436,97,2
437,97,3
438,97,4
439,97,5
440,97,6
441,98,2
442,98,3
443,98,4
444,98,5
445,98,6
446,99,2
447,99,3
448,99,4
449,99,5
450,99,6
451,100,2
452,100,3
453,100,4
454,100,5
455,100,6
456,100,7
457,101,2
458,101,3
459,101,4
460,101,5
